id,amount_alc,alc,sober
1,6.4,49.46,45.3
2,8.4,43.75,38.02
3,12.8,59.69,56.45
4,12.8,57.98,53.8
5,14.8,60.89,70.88
6,23.6,60.64,57.59
7,42,60.77,58.89
8,156,65.41,53.16
9,28.8,55.37,37.5
10,13.2,81.68,74.87
11,52.4,45.31,41.15
12,2,57.29,55.21
13,1.2,53.12,58.12
14,0.8,48.44,49.47
15,8,62.43,63.78
